 num     #instances         #bytes  class name
----------------------------------------------
   1:      43366538     3367675144  [B
   2:      58065247     2787131856  java.nio.HeapByteBuffer
   3:       3071997     1987415064  [I
   4:      10241093     1563924440  [C
   5:      20834726      833389040  org.apache.cassandra.db.PreHashedDecoratedKey
   6:      20964092      745634320  [J
   7:      13921749      668243952  [Lorg.apache.cassandra.db.ClusteringPrefix$Kind;
   8:      24320594      603161864  [Ljava.nio.ByteBuffer;
   9:      24337612      584102688  org.apache.cassandra.db.BufferClustering
  10:      20938916      502533984  org.apache.cassandra.dht.Murmur3Partitioner$LongToken
  11:      10414668      333269376  org.apache.cassandra.db.rows.BTreeRow
  12:       6962411      278496440  org.apache.cassandra.io.sstable.IndexInfo
  13:       6952447      278097880  org.apache.cassandra.db.rows.UnfilteredSerializer$$Lambda$97/413498766
  14:       6232964      249318560  org.apache.cassandra.db.rows.BufferCell
  15:       6971188      223078016  java.util.RandomAccessSubList
  16:       4356121      183000648  [Ljava.lang.Object;
  17:       7534951      180838824  org.apache.cassandra.db.DeletionTime
  18:       7506074      180145776  org.apache.cassandra.db.rows.Row$Deletion
  19:       7103266      170478384  java.util.Arrays$ArrayList
  20:       6945649      166695576  org.apache.cassandra.db.rows.BTreeRow$$Lambda$186/1213494664
  21:       4754352      114104448  java.lang.String
  22:       6981329      111701264  org.apache.cassandra.utils.WrappedInt
  23:       6966969      111471504  org.apache.cassandra.db.rows.BTreeRow$$Lambda$99/2044584373
  24:       2761040       66264960  org.apache.cassandra.db.LivenessInfo
  25:        700169       44810816  java.util.regex.Matcher
  26:        783716       43888096  io.prometheus.jmx.shaded.org.eclipse.jetty.io.ByteArrayBuffer
  27:        852433       34097320  java.util.TreeMap$Entry
  28:       1393620       33446880  java.lang.StringBuilder
  29:        529210       25402080  java.util.HashMap
  30:        258159       25306816  [Ljava.util.HashMap$Node;
  31:        981364       23552736  java.util.concurrent.ConcurrentSkipListMap$Node
  32:        498114       19924560  java.util.LinkedHashMap$Entry
  33:        603383       19308256  org.apache.cassandra.db.rows.EncodingStats
  34:        598232       19143424  org.apache.cassandra.db.partitions.AbstractBTreePartition$Holder
  35:        581160       18597120  org.apache.cassandra.db.partitions.AtomicBTreePartition
  36:        767025       18408600  java.util.concurrent.ConcurrentLinkedQueue$Node
  37:        706897       16965528  java.lang.Long
  38:        273163       15297128  org.apache.cassandra.utils.memory.BufferPool$Chunk
  39:        453799       14521568  java.util.HashMap$Node
  40:        584081       14017944  org.apache.cassandra.db.BufferDecoratedKey
  41:        564912       13557888  org.apache.cassandra.db.Columns
  42:        563718       13529232  org.apache.cassandra.db.PartitionColumns
  43:        186431       13423032  java.util.regex.Pattern
  44:        510359       12248616  java.util.concurrent.ConcurrentLinkedQueue
  45:        509394       12225456  org.apache.cassandra.dht.LocalPartitioner$LocalToken
  46:        254116       12197568  org.apache.cassandra.utils.concurrent.OpOrder$Group
  47:        250798       12038304  java.util.TreeMap
  48:        186356       10435936  [Ljava.util.regex.Pattern$GroupHead;
  49:        384181        9220344  java.util.concurrent.ConcurrentSkipListMap$Index
  50:        372346        8936304  java.util.regex.Pattern$Slice
  51:        132979        8520360  [Ljava.util.Hashtable$Entry;
  52:        265881        8508192  java.util.Vector
  53:        508966        8143456  org.apache.cassandra.utils.concurrent.WaitQueue
  54:        497404        7958464  org.apache.cassandra.db.rows.CellPath$SingleItemCellPath
  55:        111667        7146688  org.apache.cassandra.utils.btree.BTreeSearchIterator
  56:        147942        7101216  java.util.concurrent.ConcurrentHashMap$TreeNode
  57:        221360        7083520  java.io.File
  58:        166160        6646400  java.security.ProtectionDomain
  59:        272843        6548232  java.util.ArrayList
  60:        132963        6382224  java.util.Hashtable
  61:        109408        6126848  java.util.LinkedHashMap
  62:        247665        5943960  javax.management.openmbean.CompositeDataSupport
  63:        147814        5912560  javax.management.MBeanPermission
  64:        171151        5476832  java.util.regex.Pattern$BnM
  65:        166141        5316512  java.security.CodeSource
  66:          7893        5307240  [D
  67:         40068        5128704  sun.nio.fs.UnixFileAttributes
  68:         87697        4209456  sun.nio.cs.US_ASCII$Decoder
  69:        247985        3967760  java.util.TreeMap$KeySet
  70:        148188        3556512  java.lang.StringBuffer
  71:         33183        3451032  sun.rmi.server.LoaderHandler$Loader
  72:         48845        3126080  java.nio.DirectByteBuffer
  73:         93296        2985472  sun.nio.fs.UnixPath
  74:        185866        2973856  java.util.regex.Pattern$Dot
  75:         88712        2838784  java.util.LinkedList
  76:         88008        2816256  java.util.LinkedList$ListItr
  77:        113733        2729592  java.util.Collections$UnmodifiableRandomAccessList
  78:         33483        2680208  [Ljava.util.WeakHashMap$Entry;
  79:        166582        2665312  java.lang.Integer
  80:        166160        2658560  [Ljava.security.Principal;
  81:        166160        2658560  java.security.ProtectionDomain$Key
  82:        109646        2631504  java.lang.Double
  83:        106618        2558832  javax.management.ObjectName$Property
  84:        159672        2554752  java.util.HashSet
  85:         33190        2389680  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader
  86:         33190        2389680  javax.management.remote.rmi.RMIConnectionImpl$CombinedClassLoader$ClassLoaderWrapper
  87:         33182        2389104  com.sun.jmx.remote.util.OrderClassLoaders
  88:         93945        2254680  org.apache.cassandra.utils.Pair
  89:         68958        2206656  java.util.concurrent.ConcurrentHashMap$Node
  90:         54166        2166640  java.util.ArrayList$SubList
  91:         38374        2148944  sun.nio.cs.UTF_8$Encoder
  92:         66417        2125344  java.security.Permissions
  93:         11335        2095200  [Lcom.codahale.metrics.WeightedSnapshot$WeightedSample;
  94:         42269        2028912  org.apache.cassandra.io.sstable.Descriptor
  95:         42268        2028864  org.apache.cassandra.io.sstable.format.big.BigFormat$BigVersion
  96:         68324        2025352  [Ljavax.management.ObjectName$Property;
  97:         61270        1960640  java.util.ArrayList$Itr
  98:         80547        1933128  org.apache.cassandra.db.rows.ComplexColumnData
  99:         62566        1926056  [Ljava.lang.String;
 100:         79804        1915296  org.apache.cassandra.service.QueryState
 101:         74019        1776456  java.util.concurrent.ConcurrentLinkedDeque$Node
 102:         23418        1686096  java.util.concurrent.ScheduledThreadPoolExecutor$ScheduledFutureTask
 103:         40229        1609160  java.util.ArrayList$SubList$1
 104:         33477        1606896  java.util.WeakHashMap
 105:         49858        1595456  java.io.FilePermission
 106:         33187        1592976  sun.misc.URLClassPath
 107:         88026        1408416  java.util.LinkedHashMap$LinkedEntrySet
 108:         42800        1369600  java.nio.file.FileTreeWalker$Event
 109:         33545        1341800  javax.management.ObjectName
 110:         33397        1335880  java.security.AccessControlContext
 111:         33219        1328760  java.util.HashMap$KeyIterator
 112:         33183        1327320  sun.rmi.server.LoaderHandler$LoaderEntry
 113:           849        1317312  [Ljava.util.concurrent.ConcurrentHashMap$Node;
